Rank;Articles;PF;RM
1;https://api.istex.fr/document/21DF3DF37766A07B3D9C35A597D9125DFEF6B2D9/fulltext/pdf;1;1
2;https://api.istex.fr/document/B1BEB7E400969A2E068B01C310197D27B158CDA0/fulltext/pdf;1;0.5
3;https://api.istex.fr/document/8A14A0D5DEEA9D91EC6C8B22064490EFDFB3506F/fulltext/pdf;0.5;0
4;https://api.istex.fr/document/C7885D97D873FDDACF9B106FF175B3AB43116A25/fulltext/pdf;1;0.5
5;https://api.istex.fr/document/7059E3071A87DC69182263DB8B7C3E3CA12912F1/fulltext/pdf;0;0
6;https://api.istex.fr/document/82E7B4E2EE27C0D192709FB7E79680935AAA14F5/fulltext/pdf;  ; 
7;https://api.istex.fr/document/9D962699AE087CE8DE5B2D7B61ECBEE5C40A6F04/fulltext/pdf;0;0.5
8;https://api.istex.fr/document/B17EB06BBBE23D24DED1D967F73AB5A2DBB9ACC9/fulltext/pdf;  ; 
9;https://api.istex.fr/document/F35F3013F3883415392E099E3411018F32B1B2BF/fulltext/pdf;  ; 
10;https://api.istex.fr/document/38D3A14290D6F9ED5E188E0F35C01E8089BF26BB/fulltext/pdf;  ; 
11;https://api.istex.fr/document/48E3EEF95715F9F6FA1E003195AC27293442F28B/fulltext/pdf;0;0
12;https://api.istex.fr/document/AF6D4FA4700CBC53D6CFBFD78921D6E39DB545B5/fulltext/pdf;  ; 
13;https://api.istex.fr/document/7A29B8AC25D04E500BA91623CD13125231F19B6D/fulltext/pdf;  ; 
14;https://api.istex.fr/document/123D68EFDE046B70CC1AD52B1E9951246E1C3D27/fulltext/pdf;  ; 
15;https://api.istex.fr/document/49C6E1158DA37F8635CA747FD755F09C84361C21/fulltext/pdf;0;0
16;https://api.istex.fr/document/0C72D5F906D2D681AA882CCE65FF5B35C2208B1F/fulltext/pdf;0;0
17;https://api.istex.fr/document/835B145628C17251759DAA9A7F9B2D3B5B93AFF3/fulltext/pdf;  ; 
18;https://api.istex.fr/document/10C7CE6C652990087CC4ABF07D02015EE594743F/fulltext/pdf;  ; 
19;https://api.istex.fr/document/B9E45EDC1D5101A7A44EDFEDC428E69A1A6D682E/fulltext/pdf;  ; 
20;https://api.istex.fr/document/27468151CE649DAA5A6792D4D7C6D968AFD26E6E/fulltext/pdf;0;0
21;https://api.istex.fr/document/9220B2C14193DDC3D3F27F4B4959344BA9B5DA49/fulltext/pdf;1;0.5
22;https://api.istex.fr/document/DB63C2344E809FEC6E04116B3E853C7A14DE723B/fulltext/pdf;  ; 
23;https://api.istex.fr/document/FB3AA840B1063488380A5A2E8611BCE4FA7C459F/fulltext/pdf;  ; 
24;https://api.istex.fr/document/0FB8C463FAAC01D3A53E3D39082803DF70639BEE/fulltext/pdf;0.5;0.5
25;https://api.istex.fr/document/E93468E68B514EA825BD250FC5F42587BF4A79E6/fulltext/pdf;  ; 
26;https://api.istex.fr/document/17F2DCB2439DF536D61F400EF779E973DAF33A27/fulltext/pdf;  ; 
27;https://api.istex.fr/document/914E560A17BD9ED0A90A146028BB881959FC0924/fulltext/pdf;0;0
28;https://api.istex.fr/document/0706EC3B1C7B1501212E58260E702214E38A1ED1/fulltext/pdf;0;0
29;https://api.istex.fr/document/0917DB247E3573222DF2F307C4E59D94CC135ACC/fulltext/pdf;  ; 
30;https://api.istex.fr/document/14012FAE6879AB6E9F3BB4FF2BBF6BC7E4723EC5/fulltext/pdf;  ; 
31;https://api.istex.fr/document/94C991E0C141B84FFB78A5CE1453FF253AFBD7B5/fulltext/pdf;0.5;0
32;https://api.istex.fr/document/1A8EFA52B147739BE8FC7E01483BDBA000BE442B/fulltext/pdf;0;0
