Rank;Articles;PF;RM
1;https://api.istex.fr/document/F777E0457A5835F1B953289B067602F59783D777/fulltext/pdf;0.5;1
2;https://api.istex.fr/document/4A9A999F18A1350ED5ADF740E64D7BB5ED63F82C/fulltext/pdf;0;0
3;https://api.istex.fr/document/B8B691B86FAC66524598E16AADDCC1F86A629896/fulltext/pdf;0;0
4;https://api.istex.fr/document/A77E3BBBB6D1EB3B873D15E55824E81846996971/fulltext/pdf;  ;  
5;https://api.istex.fr/document/75C9BBB48AE2823BF4E1CD64CE5EFD5F23D62FF3/fulltext/pdf;0;0.5
6;https://api.istex.fr/document/CF318F552F4B9D2F389616834B6D76E9FDDB1396/fulltext/pdf;  ;
7;https://api.istex.fr/document/EF32AB3AD29E1CB31BB8F3DE91111D77F7B103BF/fulltext/pdf;0;0
8;https://api.istex.fr/document/DE255977A25A4A37CEE368F0C463CB82E8504F75/fulltext/pdf;  ;
9;https://api.istex.fr/document/82C205D8B132FF8CD7CA4EDECF0DF1B02C66B9A5/fulltext/pdf;  ;
10;https://api.istex.fr/document/91A6F9D7D718BD377F319968D9E5139E63D02AF3/fulltext/pdf;  ;
11;https://api.istex.fr/document/4ADF2544166FFE78B6D2F835630BBC800F57D0A9/fulltext/pdf;0;0
12;https://api.istex.fr/document/8AB3ADF9EA21C42BE82DBBE4682E035C825363AA/fulltext/pdf;  ;
13;https://api.istex.fr/document/58714F2B195066537153000768751B2A9EDAA6B9/fulltext/pdf;  ;
14;https://api.istex.fr/document/A1E9F901686EF9CF1F3E0E3BD3A710760CAD3679/fulltext/pdf;  ;
15;https://api.istex.fr/document/225D922F195A79392A98DE392DEBE90DFE3535D3/fulltext/pdf;0.5;0.5
16;https://api.istex.fr/document/E708B00BCD70B25D63DA3EF4CDDC8C63D0BC15B3/fulltext/pdf;0;0
17;https://api.istex.fr/document/3F0D3230252F958CFDDE9C05E878BDA543ECD6BF/fulltext/pdf;  ;
18;https://api.istex.fr/document/310B137D59BD7DEA695D58C7037E865645282D42/fulltext/pdf;  ;
19;https://api.istex.fr/document/E1FCB29E07ABC785E199540F696D8BF68248B105/fulltext/pdf;  ;
20;https://api.istex.fr/document/9877B193E9AA5E7F5043C8002CCE8929A1F64BF5/fulltext/pdf;0.5;0
21;https://api.istex.fr/document/489BD06ABBE78170503151698FB826DF1ECB53AE/fulltext/pdf;0.5;0.5
22;https://api.istex.fr/document/5F5D4982E46BFA3AEA6ADA30542D652932C500C3/fulltext/pdf;  ;
23;https://api.istex.fr/document/A9FDF6BAB7AA6401770E82E6E175232F63A3095F/fulltext/pdf;  ;
24;https://api.istex.fr/document/6E5DBA194A58949FCCE918C37186DAAF0344E8F5/fulltext/pdf;0;0
25;https://api.istex.fr/document/510E936A0CE691CBF843E5B925B798B7F07FFADE/fulltext/pdf;  ;
26;https://api.istex.fr/document/888ABBA983CD590B21C3E104D2DBFBA600972F80/fulltext/pdf;  ;
27;https://api.istex.fr/document/E64941541410A0D7CA5BB906D4B6CF00677775FD/fulltext/pdf;0;0
28;https://api.istex.fr/document/D7DEE2C807E97AF6979215018CA0773DC901C77C/fulltext/pdf;0.5;1
29;https://api.istex.fr/document/52A6622EBC4BB6A7940D15224D0FF59EE95179A4/fulltext/pdf;  ;
30;https://api.istex.fr/document/204C5DEB0C1B63C9741138BBF8EC0C826D3EC4F1/fulltext/pdf;  ;
31;https://api.istex.fr/document/78035AA375C534FE17D41A315CD59567A90C5992/fulltext/pdf;0.5;1
32;https://api.istex.fr/document/E28E3661929F0E16DF9FF3356415888FF78AD226/fulltext/pdf;0;0
33;https://api.istex.fr/document/88B91DB7741A62098F276102418F602B37381DC3/fulltext/pdf;0.5;0
34;https://api.istex.fr/document/F3FEAA6E46B5CA3420B23FE2F0B557274153A4AE/fulltext/pdf;1;1
35;https://api.istex.fr/document/5CC7A31B2B0C604852402971AF3F82FBDEE6DC4E/fulltext/pdf;0.5;0.5
36;https://api.istex.fr/document/8BBC9A79DAA36F714B7F2400BFE2200AD73E005A/fulltext/pdf;0;0.5
37;https://api.istex.fr/document/04E074F5C2564E187E1EC10AB49CB3C2D26353AB/fulltext/pdf;1;1
38;https://api.istex.fr/document/A003FFD68C863692502A3869853B52DFE0463F84/fulltext/pdf;0.5;0
39;https://api.istex.fr/document/F30D712F5B72A0F1CA7C714088715AB88D70CF45/fulltext/pdf;  ;
40;https://api.istex.fr/document/7A54DAD3A682DB2BC93BF5575F1BF96D58863675/fulltext/pdf;0.5;0.5
41;https://api.istex.fr/document/F50D2330852CA424ECF06EF2BC78AEADA3427139/fulltext/pdf;0;0
42;https://api.istex.fr/document/FBD3ADCD07C8A2CAEDCBC42FB3A763F70A7EF75E/fulltext/pdf;  ;
43;https://api.istex.fr/document/818A5D0335D7F16BEF81586FBB33A2DEE3374E19/fulltext/pdf;0;0
44;https://api.istex.fr/document/939B0578E90C81F5E61605EC792DA1317F0C1C33/fulltext/pdf;0.5;1
45;https://api.istex.fr/document/A94082D2EEBC5182363ABCC3D24E573E7663E559/fulltext/pdf;0;0
46;https://api.istex.fr/document/67E744C60B58758F11F86F9D67E70B98D7181EC8/fulltext/pdf;  ;
47;https://api.istex.fr/document/51C455862446C6DD019E2887994848492FB4B624/fulltext/pdf;0.5;0
48;https://api.istex.fr/document/1FEDDC325A6CFB4ED8EF448FA48A9ADC4A25742D/fulltext/pdf;0;0
