,0
0,25EA9DE31317D30EADC3FDC4F0DF9B7D4E8F5D62
1,401A0E69996285F9ACE0CD1A5AB73D25960F5959
2,B1BEB7E400969A2E068B01C310197D27B158CDA0
3,B04909F02863F1634273597975A50F594F79E03E
4,A8A715FB2E84E0BD343EA1231BBC1A6DB422A502
5,FA418FE11ECE37589D2D814967A4E227CEA14964
6,C572D47D0CFE10A639A7136B1A7FD551F42855E7
7,8F07FF32E0A571C9D6CFA40B8E282CE5B43E344A
8,78E7CB978894B4290F906BF7F8061CB2602E23A1
9,939B0578E90C81F5E61605EC792DA1317F0C1C33
10,51306323120126D81D0E88A1A6A69BABC1708F9D
11,7B1F1640613D41313E4948D99D16AF4F41F363ED
12,8F82A09E76FA206950FDA0486D56203A32FC5D1E
13,2D996D0EEA3042F6308DB8FF5D74F0146F020E7F
14,849E07DEB1A40B4EB4E2FD724C04E4BC3E224985
15,1665289A403A75F960B103350DDD618904C922FF
16,DE45E1173186F176D75DD6C03F38C950A2FB1D18
17,A7321653D3F948EA7344C37DD0A864CC454B7C9E
18,3295B45338C6EFE6AD090751A3613E8544BA22AD
19,8D3DCAFAC77C779023F46A908086991DBC04EAE0
20,490A46483FC360E7731E6632C2399123CB5729A3
21,12A00C9E8A76C5497CC16E3F946B7996A6B20895
22,532C0528BA4B3DF4D3CC0DB4377D1C1374A7B19C
23,823F414AA910D7417970A91A4840656D09B1ADE1
24,A98CFF83E01EC073F73E3277235087517CEF2A54
25,32AE3608220EACB4D1AD63A1555F2FE6A79344C2
26,845630E6F775BAFB3FCBDC0962026B9A0D1C2D5C
27,DD1A0218DB056D7E4DC924831F499332FCC22900
28,55EC987930D17F90A8AD4674A82701F970EA8860
29,3144A6F4A662FBC29D56E4D97DEFBBF45DF44135
30,81408BFC548373B473E0447E2296490185A952FB
31,0E7CEB07481B4F9A4E7F7EF2B8362A8845173DD0
32,5AB691FB1F699FAB9B4D4A8BFC68B7EB6F785A19
33,965D7C5E1416B9ECA4365B1F2CE3A24910B3D378
34,D7BE041A6DB6B980ACFD23F1309BEC7D997E624E
35,4B993E81590C12818264BB7EC003BCE3D0BD4D1C
36,5CB5AB4A6E4AFA590D25BADDD8E7AAD32484C86C
37,0E41739B0646053722751D8B2B8EFF2574841828
38,D6B980567DFF5680BE9003CB8B67470FC065F2BD
39,3157B85F05513AB7F749147371B26034B8B4C205
40,6ED62A7DBC8FDDC40F93BF5A8AF909BF58FB5AAE
41,B45ACB646A391CCA9B52A3AAB04F6176664A24A4
42,85D3C8B03E762764ACF8DEDF273A1D486F936BA0
43,5F4A81278012F375BCAF5EB5BBD0BCC2D74C7501
44,4C9E3D5C0A07F4C6B09D6D3F047E05E4D4C07E2F
